section,reference,comparison,n_samples,hpi_n,hpi_missing,hpi_mae,hpi_rmse,hpi_exact,hpi_within_1,hpi_within_2,hpi_kappa_quadratic,ivr_legacy_n,ivr_legacy_missing,ivr_legacy_mae,ivr_legacy_rmse,ivr_legacy_exact,ivr_legacy_within_1,ivr_legacy_within_2,ivr_legacy_kappa_quadratic,ivr_app_n,ivr_app_missing,ivr_app_accuracy,ivr_app_precision,ivr_app_recall,ivr_app_f1,ivr_app_tp,ivr_app_fp,ivr_app_fn,ivr_app_tn,ivr_cond_n,ivr_cond_missing,ivr_cond_excluded_not_jointly_applicable,ivr_cond_mae,ivr_cond_rmse,ivr_cond_exact,ivr_cond_within_1,ivr_cond_within_2,ivr_cond_kappa_quadratic
expertos_entre_si,sara,nerea,200,200,0,0.19,0.447214,0.815,0.995,1.0,0.968311,197,3,0.609137,1.649488,0.751269,0.903553,0.923858,0.853507,197,3,0.949239,0.944444,0.985507,0.964539,136,8,2,51,136,3,61,0.5,1.181972,0.713235,0.911765,0.941176,0.831896
expertos_vs_orixinal,original,sara,200,200,0,0.465,0.796869,0.605,0.945,0.985,0.911836,198,2,1.626263,2.876235,0.535354,0.676768,0.762626,0.535773,198,2,0.893939,0.848921,1.0,0.918288,118,21,0,59,118,2,80,1.59322,2.466728,0.398305,0.618644,0.762712,0.424836
expertos_vs_orixinal,original,nerea,200,200,0,0.525,0.863134,0.555,0.945,0.98,0.895128,199,1,2.085427,3.319654,0.442211,0.59799,0.678392,0.418684,199,1,0.839196,0.794521,0.983051,0.878788,116,30,2,51,116,1,83,1.887931,2.746471,0.318966,0.560345,0.698276,0.289852
sistema_vs_orixinal,original,system,200,200,0,0.36,0.877496,0.74,0.955,0.975,0.902969,200,0,1.26,2.360085,0.525,0.73,0.855,0.601723,200,0,0.86,0.882353,0.882353,0.882353,105,14,14,67,105,0,95,1.028571,1.447494,0.361905,0.714286,0.92381,0.793621
sistema_vs_expertos,sara,system,200,200,0,0.635,1.079352,0.52,0.91,0.96,0.837291,198,2,2.010101,3.141447,0.409091,0.60101,0.681818,0.464856,198,2,0.833333,0.949153,0.805755,0.871595,112,6,27,53,112,2,86,2.026786,2.807833,0.25,0.544643,0.660714,0.366474
sistema_vs_expertos,nerea,system,200,200,0,0.615,1.083974,0.545,0.91,0.96,0.833551,199,1,2.39196,3.505917,0.361809,0.517588,0.61809,0.373321,199,1,0.81407,0.957983,0.780822,0.860377,114,5,32,48,114,1,85,2.263158,2.988281,0.210526,0.45614,0.614035,0.286852
