epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,476.821,0.48143,0.4323,0.9875,0.99799,0.99237,0.995,0.96926,0.26599,0.26144,0.82291,0.000581,0.000581,0.000581
45,487.45,0.44504,0.41026,0.96722,0.99066,1,0.99477,0.96188,0.28359,0.26485,0.82357,0.000548,0.000548,0.000548
46,498.128,0.46171,0.40493,0.98123,0.98379,1,0.99485,0.97545,0.25298,0.24913,0.81925,0.000515,0.000515,0.000515
47,508.579,0.49879,0.43766,1.01001,0.99058,1,0.99485,0.9682,0.27622,0.26001,0.83104,0.000482,0.000482,0.000482
48,519.057,0.46036,0.40855,0.9703,1,0.99229,0.995,0.9743,0.25231,0.24719,0.81873,0.000449,0.000449,0.000449
49,529.677,0.44849,0.40334,0.9758,0.99148,1,0.99492,0.97425,0.2439,0.24242,0.81358,0.000416,0.000416,0.000416
50,540.129,0.43515,0.39661,0.95516,0.99994,1,0.995,0.974,0.24672,0.2366,0.81358,0.000383,0.000383,0.000383
51,553.408,0.2961,0.28236,0.85961,0.99056,1,0.99485,0.97156,0.23988,0.23238,0.81134,0.00035,0.00035,0.00035
52,564.103,0.31274,0.28774,0.8691,0.99242,0.99929,0.9947,0.97386,0.23886,0.22794,0.80492,0.000317,0.000317,0.000317
53,574.2,0.28885,0.27392,0.86452,0.99242,0.99966,0.99477,0.97858,0.22831,0.22221,0.80087,0.000284,0.000284,0.000284
54,584.44,0.2839,0.25642,0.85664,0.99242,0.99953,0.995,0.98109,0.22377,0.22039,0.79761,0.000251,0.000251,0.000251
55,594.785,0.28963,0.25903,0.85588,0.99998,1,0.995,0.97907,0.22447,0.21872,0.80071,0.000218,0.000218,0.000218
56,605.111,0.27519,0.25636,0.85274,0.99917,1,0.995,0.98299,0.22129,0.21634,0.794,0.000185,0.000185,0.000185
57,615.195,0.27165,0.25253,0.84548,0.99903,1,0.995,0.98113,0.21547,0.21499,0.79213,0.000152,0.000152,0.000152
58,625.294,0.2669,0.24454,0.84912,0.99906,1,0.995,0.98138,0.21098,0.2088,0.79183,0.000119,0.000119,0.000119
59,635.506,0.2692,0.24588,0.84733,0.9989,1,0.995,0.98106,0.20575,0.20124,0.79093,8.6e-05,8.6e-05,8.6e-05
60,645.763,0.2563,0.24161,0.84318,0.99895,1,0.995,0.98335,0.20228,0.19617,0.78988,5.3e-05,5.3e-05,5.3e-05
